ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,ruwe,teff_gspphot,phot_variable_flag,distance_pc,abs_mag,phase,cluster
263.0487718573869,-58.905457987118446,11.263538200351302,0.017226106,13.809991,14.975608,12.736892,2.2387161,22.08571,1.1497608,3639.8306,VARIABLE,88.78204896298134,9.068365181490856,Main Sequence,0
319.2516603831292,69.53993758104808,11.641719354984662,0.01557711,14.121442,15.354233,13.017294,2.3369389,-49.89859,1.0938494,3583.2998,NOT_AVAILABLE,85.8979648544635,9.45152762804674,Main Sequence,4
283.7817633524788,74.01572021266698,10.4289122779824,0.011234689,13.594866,14.682577,12.559456,2.1231213,-4.1273003,1.0821265,3795.7473,NOT_AVAILABLE,95.8872769609164,8.68606107218819,Main Sequence,0
261.7779132054766,-60.2691240747868,44.91862239988923,0.025940426,12.536531,14.113338,11.311399,2.801939,2.4397771,1.3725024,3012.3435,NOT_AVAILABLE,22.26248149592553,10.798663142521832,Other,4
315.63082104745604,67.42186523665464,12.760250893541423,0.017017893,14.416713,15.767379,13.2743,2.4930792,-1.882779,1.2074629,3430.9392,NOT_AVAILABLE,78.36836503788089,9.946009068089262,Main Sequence,4
279.6515023080591,73.66333289609922,11.967213706128344,0.011206543,13.133156,14.18066,12.116247,2.064413,-5.4927893,0.99553007,3840.77,NOT_AVAILABLE,83.5616397063174,8.523121232854365,Main Sequence,0
279.5428088966777,74.1163139529809,15.883561798678445,0.012492605,10.039909,10.5171175,9.404405,1.1127129,-25.289865,1.0364053,4882.3984,NOT_AVAILABLE,62.95817101194536,6.044648485436612,Main Sequence,2
315.91730960080474,69.4881155610796,17.683157915812448,0.0118887955,12.457651,13.434157,11.481938,1.952219,13.002923,1.1164258,3928.3196,NOT_AVAILABLE,56.55098511028907,8.69545012661604,Main Sequence,0
315.88100754790906,67.52091843267971,13.714075296065095,0.015482762,14.32573,15.752951,13.155481,2.5974693,-30.033262,1.2169188,3476.956,NOT_AVAILABLE,72.91778544390263,10.011562647980092,Other,4
316.7363396823004,69.67489058259869,30.9611711605734,0.015835673,7.9986496,8.3765745,7.4441743,0.9324002,-12.819934,0.95984435,5331.502,NOT_AVAILABLE,32.298519807720346,5.452736501358288,Main Sequence,1
295.7214147756562,73.51696088712558,10.613007554350077,0.010609037,13.457589,14.365272,12.515074,1.8501978,-31.338251,1.0689647,3979.4539,NOT_AVAILABLE,94.22399775736694,8.586781366805424,Main Sequence,0
280.88586813629274,74.77560466883446,11.011226768755222,0.013676202,13.778871,14.976643,12.695168,2.281475,-1.8666456,1.1793646,3681.6777,NOT_AVAILABLE,90.81640229565868,8.98804953365132,Main Sequence,0
316.1463694154818,69.88390730452498,12.093194026499862,0.01710626,14.556542,15.947616,13.394205,2.5534105,-6.4277134,1.1257068,3462.9246,NOT_AVAILABLE,82.69113997581583,9.969247104338036,Other,4
278.750116468122,74.8574558863657,12.501352505503338,0.009540807,11.275018,11.93072,10.499086,1.431634,-9.659321,0.7291074,4628.93,NOT_AVAILABLE,79.99134490126413,6.759803006600858,Main Sequence,2
317.8714727042616,69.73154816832168,11.441663576289876,0.016941292,14.629464,15.950955,13.493596,2.4573593,6.633552,1.0734608,3516.6082,NOT_AVAILABLE,87.3998779401504,9.921909869434172,Main Sequence,4
263.52156168834046,-59.777570807477325,26.69551928604774,0.01943722,7.459463,7.753087,6.9923277,0.76075935,-25.428991,0.88357264,5826.763,NOT_AVAILABLE,37.45946985652548,4.591654866252761,Main Sequence,1
288.7333763664186,71.52994414684338,17.718304531996377,0.0105891,9.339198,9.728767,8.777347,0.9514208,7.960731,0.9461016,5305.306,NOT_AVAILABLE,56.438808701710855,5.581308809079372,Main Sequence,1
227.0760293297904,-49.65180447551504,12.750939212563985,0.019083254,13.731777,14.927532,12.638819,2.2887135,73.17516,1.095247,3631.402,VARIABLE,78.42559542709309,9.25948787671696,Main Sequence,0
230.07910628523032,-48.840504851429614,13.52096690906558,0.015742864,10.37783,10.881294,9.723259,1.1580353,15.972783,0.82856864,4883.0337,VARIABLE,73.95920770499903,6.032868749543095,Main Sequence,2
283.52046444136346,74.9452096511601,26.432598077880492,0.016470809,14.502785,16.275784,13.240848,3.034936,-14.394367,1.1368151,3095.2007,NOT_AVAILABLE,37.83207375429458,11.61348426163529,Other,4
279.2441388045618,72.26716921945318,15.726063028453034,0.017613344,8.418551,8.702951,7.96864,0.7343116,-30.528473,0.9269681,5925.586,NOT_AVAILABLE,63.58870609832279,4.401651059708103,Main Sequence,1
291.0200111590602,71.99281477893666,26.50533215002859,0.015013863,8.203344,8.599472,7.6346245,0.96484756,-30.389484,0.9089323,5398.3726,NOT_AVAILABLE,37.7282576328296,5.320010254662959,Main Sequence,1
278.0570466612401,72.32488965668388,10.450167805548803,0.017646255,14.848895,16.304533,13.667095,2.6374378,-42.793083,1.0820165,3495.1426,NOT_AVAILABLE,95.69224328331096,9.944511321344818,Other,4
290.46000741048806,72.18663886715412,10.495351448684117,0.013052509,12.765178,13.698984,11.80407,1.8949137,-80.51616,1.2207037,3636.038,NOT_AVAILABLE,95.28027764381132,7.870162930013072,Main Sequence,0
290.82414264654034,72.14318860801329,18.074795610264232,0.011942472,13.54645,14.739108,12.456874,2.2822342,-38.842747,1.1882243,3362.4524,NOT_AVAILABLE,55.325660193475414,9.831816974968037,Main Sequence,4
228.89241851988524,-48.915387638508264,13.189022704850888,0.017546244,10.454245,10.944316,9.806711,1.1376047,14.094892,0.9987609,4844.007,NOT_AVAILABLE,75.82062919887177,6.055308079469828,Main Sequence,2
278.1088338875425,72.75621891642409,10.407857734891724,0.017062066,14.426617,15.656209,13.32818,2.3280287,-7.424087,1.0783046,3622.7263,NOT_AVAILABLE,96.08125182645028,9.513423736093092,Main Sequence,4
228.012998273662,-49.94688525445704,15.476494902930185,0.019018292,11.915367,12.813737,10.979426,1.8343105,-29.900835,1.0618204,4177.1025,NOT_AVAILABLE,64.61411361371422,7.863730045080322,Main Sequence,0
229.9360991994564,-48.54998842681354,26.381320995434606,0.017956942,13.630063,15.065115,12.458129,2.606986,-25.249239,1.1900792,3100.9321,NOT_AVAILABLE,37.905607538494905,10.736545691204144,Other,4
288.44273634064615,72.4500389584159,13.248998180873995,0.013529017,14.265748,15.716654,13.091679,2.6249752,-23.553673,1.1510798,3431.804,NOT_AVAILABLE,75.47740488360706,9.87666320231988,Other,4
227.31844303526833,-49.51826882865211,14.053440736566134,0.014247906,12.761354,13.710214,11.796342,1.9138718,-17.777588,1.0130581,4000.7937,NOT_AVAILABLE,71.15695143596155,8.500267332936392,Main Sequence,0
254.83052771046732,-22.400160874765664,12.05617983533262,0.032629643,14.980593,16.516756,13.773477,2.7432795,-29.22459,1.0124464,3365.5457,NOT_AVAILABLE,82.9450135663484,10.386641587421275,Other,4
